選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
臺中市第三選舉區,楊瓊瓔,https://www.facebook.com/%E5%A5%BD%E7%AB%8B%E5%A7%94-%E6%A5%8A%E7%93%8A%E7%93%94-195094157238158/,195094157238158,61449,blue_verified,2011-11-14,"Taiwan (6)",2
臺中市第三選舉區,洪慈庸,https://www.facebook.com/newpowerhung/,852926604746233,310835,blue_verified,2015-02-26,"Taiwan (11)",0
臺中市第三選舉區,張睿倉,https://www.facebook.com/ChangRueiTsang180/,120143149382205,2501,blue_verified,2019-09-26,"Taiwan (3)",2
臺中市第四選舉區,黃馨慧,https://www.facebook.com/hsinghwi200/,271077586244690,13863,blue_verified,2011-09-06,"Taiwan (6)",1
臺中市第四選舉區,張廖萬堅,https://www.facebook.com/wanchien0209/,111455468891656,45164,blue_verified,2010-04-23,"Taiwan (12)",0
臺中市第四選舉區,張渝江,https://www.facebook.com/eugenepechang/,1096260013752554,1743,blue_verified,2016-01-15,"Taiwan (2)",7
臺中市第四選舉區,林金連,https://www.facebook.com/%E6%9E%97%E9%87%91%E9%80%A3-%E8%87%BA%E4%B8%AD%E5%B8%82-%E8%A5%BF%E5%8D%97%E5%B1%AF%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-120674382654249/,120674382654249,184,not_verified,2019-09-19,,0
臺中市第五選舉區,沈智慧,https://www.facebook.com/eqmame.tw/,873564689350864,39731,blue_verified,2014-10-31,"Taiwan (11)",5
臺中市第五選舉區,莊競程,https://www.facebook.com/Power3C/,104448980930404,7061,not_verified,2019-08-25,"Taiwan (11)",1
臺中市第五選舉區,謝文卿,https://www.facebook.com/kevin168168/,102091854559464,1752,not_verified,2019-10-23,,1
臺中市第五選舉區,林秋屏,https://www.facebook.com/evangelion.ping/,101937481191132,1731,not_verified,2019-09-02,"Taiwan (9)",2
臺中市第五選舉區,劉國隆,https://www.facebook.com/%E5%8A%89%E5%9C%8B%E9%9A%86%E5%BB%BA%E7%AF%89%E5%B8%AB-889579694439132/,889579694439132,5009,blue_verified,2015-05-14,"Taiwan (4)",0
