term,sessionPeriod,sessionTimes,name,clicks
"09","02","14",金融消費者保護法第四條及第三十條之一條文修正草案,364
"09","03","09",殯葬管理條例部分條文修正草案,364
"09","01","07",刑事訴訟法第十七條條文修正草案,363
"09","01","09",立法院職權行使法部分條文修正草案,363
"09","03","06",道路交通管理處罰條例部分條文修正草案,363
"09","06","06",中央政府前瞻基礎建設計畫第2期特別預算案,361
"09","01","13",刑事訴訟法部分條文修正草案,360
"09","02","05",勞動基準法第三十八條、第七十九條及第七十九條之二條文修正草案,360
"09","04","07",駐外機構組織通則部分條文修正草案,360
"09","04","03",藥事法部分條文修正草案,358
"09","01","16",平均地權條例第五十六條、第五十八條及第五十九條條文修正草案,357
"09","02","15",心理師法第二條條文修正草案,356
"09","02","17",稅捐稽徵法第二十三條條文修正草案,356
"09","07","01",文化基本法草案,356
"09","02","13",紀念日及節日法草案,355
"09","05","07",刑事訴訟法部分條文修正草案,353
"09","04","15",空氣污染防制法修正草案,352
"09","05","12",經濟及能源部標準檢驗局組織法草案,352
"09","02","17",生技新藥產業發展條例第三條及第八條之一條文修正草案,351
"09","01","09",電業法增訂第六十五條之二條文草案,350
"09","01","09",高級中等教育法第六十七條條文修正草案,350
"09","02","14",幼兒教育及照顧法部分條文修正草案,349
"09","03","13",道路交通管理處罰條例第三十五條條文修正草案,349
"09","05","07",法院組織法部分條文修正草案,349
"09","01","07",國軍老舊眷村改建條例增訂第二十二條之一條文草案,348
"09","01","17",國家語言發展法草案,348
"09","02","09",道路交通管理處罰條例第三十五條條文修正草案,347
"09","04","04",醫療法第三十五條條文修正草案,347
"09","04","10",揭弊人保護獎勵條例草案,347
"09","07","08",產業創新條例部分條文修正草案,346
"09","02","17",交通部高速公路局組織法草案,345
